pattern,description,samples,hits,hit_rate
TOP_10_GLOBAL,Al menos uno de los Top 10 coincide con el resultado del turno,1069,542,0.5070159027128157
HORA,Hora 08:00,90,41,0.45555555555555555
HORA,Hora 09:00,89,48,0.5393258426966292
HORA,Hora 10:00,89,42,0.47191011235955055
HORA,Hora 11:00,89,48,0.5393258426966292
HORA,Hora 12:00,89,50,0.5617977528089888
HORA,Hora 13:00,89,43,0.48314606741573035
HORA,Hora 14:00,89,42,0.47191011235955055
HORA,Hora 15:00,89,45,0.5056179775280899
HORA,Hora 16:00,89,45,0.5056179775280899
HORA,Hora 17:00,89,45,0.5056179775280899
HORA,Hora 18:00,89,42,0.47191011235955055
HORA,Hora 19:00,89,51,0.5730337078651685
