pattern,description,samples,hits,hit_rate
TOP_10_GLOBAL,Al menos uno de los Top 10 coincide con el resultado del turno,1067,540,0.5060918462980318
HORA,Hora 08:00,89,40,0.449438202247191
HORA,Hora 09:00,89,48,0.5393258426966292
HORA,Hora 10:00,89,42,0.47191011235955055
HORA,Hora 11:00,89,48,0.5393258426966292
HORA,Hora 12:00,89,50,0.5617977528089888
HORA,Hora 13:00,89,43,0.48314606741573035
HORA,Hora 14:00,89,42,0.47191011235955055
HORA,Hora 15:00,89,44,0.4943820224719101
HORA,Hora 16:00,89,45,0.5056179775280899
HORA,Hora 17:00,89,45,0.5056179775280899
HORA,Hora 18:00,89,42,0.47191011235955055
HORA,Hora 19:00,88,51,0.5795454545454546
